n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
3,574.828,381.795,192,229.75,598.5,673.25,2387
4,976.328,117.226,803,893,950.5,1016.25,1341
5,3941.45,869.457,3136,3330,3447,4482.5,6948
6,15526.9,3005.6,11842,12544.2,15836,17732.2,23767
7,48546.7,7367.04,42482,43064.5,45264.5,48635,65227
8,196896,34263.3,166842,171516,183088,222640,281185
9,722480,87695.8,633470,666717,675310,784899,946728
